t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp;t.min;[A];[B];[A]exp;[B]exp
0.202;0.002;0.159;0.00198;0.16059;0.202;0.002;0.158;0.002;0.158;0.202;0.003;0.158;0.00297;0.15958;0.202;0.003;0.157;0.00297;0.157;0.202;0.004;0.157;0.00404;0.15857;0.202;0.159;0.002;0.15741;0.00202;0.202;0.158;0.002;0.15958;0.002;0.202;0.158;0.003;0.15958;0.00303;0.202;0.157;0.003;0.157;0.003;0.202;0.157;0.004;0.15857;0.00396
0.203;0.002;0.159;0.00202;0.16059;0.203;0.002;0.158;0.002;0.158;0.203;0.003;0.158;0.00303;0.15642;0.203;0.003;0.157;0.00303;0.157;0.203;0.004;0.157;0.00404;0.15857;0.203;0.159;0.002;0.159;0.00198;0.203;0.158;0.002;0.15642;0.00202;0.203;0.158;0.003;0.15958;0.00297;0.203;0.157;0.003;0.15857;0.00303;0.203;0.157;0.004;0.15543;0.00396
0.204;0.002;0.159;0.00202;0.15741;0.204;0.002;0.158;0.00202;0.158;0.204;0.003;0.158;0.00303;0.15958;0.204;0.003;0.157;0.003;0.15543;0.204;0.004;0.157;0.004;0.157;0.204;0.159;0.002;0.16059;0.002;0.204;0.158;0.002;0.15642;0.002;0.204;0.158;0.003;0.15958;0.00297;0.204;0.157;0.003;0.15543;0.00297;0.204;0.157;0.004;0.15857;0.004
0.205;0.002;0.159;0.00198;0.159;0.205;0.002;0.158;0.00198;0.15958;0.205;0.003;0.158;0.00297;0.15642;0.205;0.003;0.157;0.00303;0.15857;0.205;0.004;0.157;0.004;0.15857;0.205;0.159;0.002;0.16059;0.002;0.205;0.158;0.002;0.15958;0.00202;0.205;0.158;0.003;0.158;0.003;0.205;0.157;0.003;0.15857;0.003;0.205;0.157;0.004;0.15857;0.00396
0.206;0.002;0.159;0.00198;0.15741;0.206;0.002;0.158;0.00198;0.15642;0.206;0.003;0.158;0.00303;0.15642;0.206;0.003;0.157;0.00297;0.157;0.206;0.004;0.157;0.00396;0.15543;0.206;0.159;0.002;0.16059;0.00198;0.206;0.158;0.002;0.15642;0.00198;0.206;0.158;0.003;0.158;0.00303;0.206;0.157;0.003;0.15543;0.00297;0.206;0.157;0.004;0.15857;0.00404
0.207;0.002;0.159;0.00202;0.16059;0.207;0.002;0.158;0.00202;0.15958;0.207;0.003;0.158;0.00303;0.158;0.207;0.003;0.157;0.00303;0.15857;0.207;0.004;0.157;0.00396;0.157;0.207;0.159;0.002;0.159;0.00198;0.207;0.158;0.002;0.158;0.00198;0.207;0.158;0.003;0.158;0.00297;0.207;0.157;0.003;0.15543;0.003;0.207;0.157;0.004;0.157;0.00404
0.208;0.002;0.159;0.002;0.159;0.208;0.002;0.158;0.00202;0.15642;0.208;0.003;0.158;0.00297;0.15958;0.208;0.003;0.157;0.003;0.15857;0.208;0.004;0.157;0.004;0.15857;0.208;0.159;0.002;0.159;0.00202;0.208;0.158;0.002;0.15958;0.002;0.208;0.158;0.003;0.15642;0.00303;0.208;0.157;0.003;0.157;0.00297;0.208;0.157;0.004;0.15543;0.00404
0.209;0.002;0.159;0.002;0.159;0.209;0.002;0.158;0.002;0.15958;0.209;0.003;0.158;0.00297;0.158;0.209;0.003;0.157;0.00297;0.15857;0.209;0.004;0.157;0.00404;0.15543;0.209;0.159;0.002;0.16059;0.00198;0.209;0.158;0.002;0.15958;0.002;0.209;0.158;0.003;0.15642;0.003;0.209;0.157;0.003;0.15543;0.00303;0.209;0.157;0.004;0.15543;0.00396
0.21;0.002;0.159;0.002;0.15741;0.21;0.002;0.158;0.002;0.158;0.21;0.003;0.158;0.003;0.15642;0.21;0.003;0.157;0.00303;0.15857;0.21;0.004;0.157;0.004;0.15543;0.21;0.159;0.002;0.15741;0.00198;0.21;0.158;0.002;0.15958;0.00198;0.21;0.158;0.003;0.158;0.00297;0.21;0.157;0.003;0.157;0.00297;0.21;0.157;0.004;0.15857;0.00404
0.211;0.002;0.159;0.00198;0.16059;0.211;0.002;0.158;0.00198;0.158;0.211;0.003;0.158;0.003;0.158;0.211;0.003;0.157;0.00297;0.15543;0.211;0.004;0.157;0.00404;0.157;0.211;0.159;0.002;0.159;0.00198;0.211;0.158;0.002;0.15642;0.002;0.211;0.158;0.003;0.15642;0.00297;0.211;0.157;0.003;0.15857;0.00303;0.211;0.157;0.004;0.15543;0.004
0.212;0.002;0.159;0.00198;0.159;0.212;0.002;0.158;0.002;0.15958;0.212;0.003;0.158;0.00303;0.15642;0.212;0.003;0.157;0.003;0.15857;0.212;0.004;0.157;0.00396;0.15857;0.212;0.159;0.002;0.15741;0.00198;0.212;0.158;0.002;0.15642;0.002;0.212;0.158;0.003;0.158;0.00303;0.212;0.157;0.003;0.157;0.00297;0.212;0.157;0.004;0.157;0.00404
0.213;0.002;0.159;0.002;0.159;0.213;0.002;0.158;0.00202;0.15958;0.213;0.003;0.158;0.003;0.15642;0.213;0.003;0.157;0.00297;0.157;0.213;0.004;0.157;0.00404;0.15857;0.213;0.159;0.002;0.159;0.00202;0.213;0.158;0.002;0.15958;0.00202;0.213;0.158;0.003;0.15958;0.00303;0.213;0.157;0.003;0.157;0.003;0.213;0.157;0.004;0.15543;0.00404
0.214;0.002;0.159;0.002;0.16059;0.214;0.002;0.158;0.00198;0.15642;0.214;0.003;0.158;0.003;0.15642;0.214;0.003;0.157;0.00303;0.157;0.214;0.004;0.157;0.00396;0.157;0.214;0.159;0.002;0.159;0.00198;0.214;0.158;0.002;0.15642;0.00198;0.214;0.158;0.003;0.158;0.00297;0.214;0.157;0.003;0.15543;0.003;0.214;0.157;0.004;0.157;0.004
0.215;0.002;0.159;0.00202;0.16059;0.215;0.002;0.158;0.00198;0.15958;0.215;0.003;0.158;0.00297;0.158;0.215;0.003;0.157;0.003;0.15543;0.215;0.004;0.157;0.00404;0.15857;0.215;0.159;0.002;0.159;0.00198;0.215;0.158;0.002;0.158;0.00198;0.215;0.158;0.003;0.158;0.00297;0.215;0.157;0.003;0.157;0.00297;0.215;0.157;0.004;0.15857;0.00396
0.216;0.002;0.159;0.00198;0.15741;0.216;0.002;0.158;0.00202;0.15642;0.216;0.003;0.158;0.00297;0.15958;0.216;0.003;0.157;0.003;0.15857;0.216;0.004;0.157;0.00396;0.157;0.216;0.159;0.002;0.16059;0.00202;0.216;0.158;0.002;0.15958;0.002;0.216;0.158;0.003;0.15642;0.003;0.216;0.157;0.003;0.157;0.00303;0.216;0.157;0.004;0.157;0.00396
0.217;0.002;0.159;0.00202;0.16059;0.217;0.002;0.158;0.00202;0.15642;0.217;0.003;0.158;0.00303;0.158;0.217;0.003;0.157;0.00297;0.15857;0.217;0.004;0.157;0.00396;0.157;0.217;0.159;0.002;0.159;0.002;0.217;0.158;0.002;0.158;0.00202;0.217;0.158;0.003;0.15958;0.00297;0.217;0.157;0.003;0.15543;0.00297;0.217;0.157;0.004;0.157;0.00404
0.218;0.002;0.159;0.00198;0.16059;0.218;0.002;0.158;0.00202;0.15642;0.218;0.003;0.158;0.00303;0.158;0.218;0.003;0.157;0.003;0.15543;0.218;0.004;0.157;0.00396;0.15857;0.218;0.159;0.002;0.159;0.00202;0.218;0.158;0.002;0.15642;0.00198;0.218;0.158;0.003;0.15958;0.003;0.218;0.157;0.003;0.157;0.00303;0.218;0.157;0.004;0.157;0.00396
0.219;0.002;0.159;0.00202;0.16059;0.219;0.002;0.158;0.00202;0.15958;0.219;0.003;0.158;0.003;0.15958;0.219;0.003;0.157;0.00303;0.15543;0.219;0.004;0.157;0.004;0.15543;0.219;0.159;0.002;0.15741;0.002;0.219;0.158;0.002;0.15958;0.00198;0.219;0.158;0.003;0.15958;0.00303;0.219;0.157;0.003;0.15857;0.00303;0.219;0.157;0.004;0.15543;0.00396
0.22;0.002;0.159;0.00202;0.15741;0.22;0.002;0.158;0.00202;0.15642;0.22;0.003;0.158;0.00297;0.158;0.22;0.003;0.157;0.00303;0.15857;0.22;0.004;0.157;0.004;0.157;0.22;0.159;0.002;0.16059;0.00198;0.22;0.158;0.002;0.15642;0.00202;0.22;0.158;0.003;0.15958;0.00303;0.22;0.157;0.003;0.15543;0.003;0.22;0.157;0.004;0.15543;0.004
0.221;0.002;0.159;0.002;0.159;0.221;0.002;0.158;0.00202;0.15642;0.221;0.003;0.158;0.00303;0.15958;0.221;0.003;0.157;0.00303;0.15543;0.221;0.004;0.157;0.00396;0.15857;0.221;0.159;0.002;0.159;0.00202;0.221;0.158;0.002;0.15958;0.00198;0.221;0.158;0.003;0.158;0.00303;0.221;0.157;0.003;0.157;0.00297;0.221;0.157;0.004;0.15857;0.00396
0.222;0.002;0.159;0.00198;0.159;0.222;0.002;0.158;0.00202;0.158;0.222;0.003;0.158;0.00297;0.158;0.222;0.003;0.157;0.00297;0.157;0.222;0.004;0.157;0.004;0.15543;0.222;0.159;0.002;0.16059;0.00202;0.222;0.158;0.002;0.158;0.00198;0.222;0.158;0.003;0.15958;0.00297;0.222;0.157;0.003;0.15857;0.00297;0.222;0.157;0.004;0.157;0.004
0.223;0.002;0.159;0.00198;0.16059;0.223;0.002;0.158;0.002;0.158;0.223;0.003;0.158;0.00297;0.15642;0.223;0.003;0.157;0.00303;0.15857;0.223;0.004;0.157;0.004;0.157;0.223;0.159;0.002;0.16059;0.002;0.223;0.158;0.002;0.15958;0.00198;0.223;0.158;0.003;0.15958;0.00303;0.223;0.157;0.003;0.15857;0.00303;0.223;0.157;0.004;0.157;0.00396
0.224;0.002;0.159;0.00198;0.159;0.224;0.002;0.158;0.00202;0.15958;0.224;0.003;0.158;0.00297;0.15642;0.224;0.003;0.157;0.00303;0.15543;0.224;0.004;0.157;0.00396;0.15857;0.224;0.159;0.002;0.15741;0.00198;0.224;0.158;0.002;0.15642;0.00202;0.224;0.158;0.003;0.15958;0.00297;0.224;0.157;0.003;0.15543;0.003;0.224;0.157;0.004;0.15857;0.00396
0.225;0.002;0.159;0.00202;0.16059;0.225;0.002;0.158;0.00202;0.15642;0.225;0.003;0.158;0.003;0.15958;0.225;0.003;0.157;0.00303;0.15857;0.225;0.004;0.157;0.00396;0.15857;0.225;0.159;0.002;0.16059;0.00198;0.225;0.158;0.002;0.15958;0.00202;0.225;0.158;0.003;0.15958;0.003;0.225;0.157;0.003;0.157;0.00297;0.225;0.157;0.004;0.15543;0.004
0.226;0.002;0.159;0.00198;0.159;0.226;0.002;0.158;0.00198;0.15642;0.226;0.003;0.158;0.003;0.158;0.226;0.003;0.157;0.003;0.15543;0.226;0.004;0.157;0.004;0.157;0.226;0.159;0.002;0.16059;0.00198;0.226;0.158;0.002;0.158;0.002;0.226;0.158;0.003;0.158;0.003;0.226;0.157;0.003;0.15543;0.00297;0.226;0.157;0.004;0.157;0.004
0.227;0.002;0.159;0.002;0.159;0.227;0.002;0.158;0.00202;0.15642;0.227;0.003;0.158;0.00297;0.15958;0.227;0.003;0.157;0.003;0.157;0.227;0.004;0.157;0.00396;0.15857;0.227;0.159;0.002;0.16059;0.00202;0.227;0.158;0.002;0.15642;0.00198;0.227;0.158;0.003;0.15642;0.003;0.227;0.157;0.003;0.15543;0.003;0.227;0.157;0.004;0.15857;0.004
0.228;0.002;0.159;0.002;0.159;0.228;0.002;0.158;0.002;0.158;0.228;0.003;0.158;0.003;0.15958;0.228;0.003;0.157;0.003;0.15857;0.228;0.004;0.157;0.00404;0.15857;0.228;0.159;0.002;0.159;0.00198;0.228;0.158;0.002;0.15958;0.002;0.228;0.158;0.003;0.158;0.003;0.228;0.157;0.003;0.15543;0.00303;0.228;0.157;0.004;0.157;0.00396
0.229;0.001;0.158;0.001;0.158;0.229;0.002;0.158;0.00202;0.15958;0.229;0.003;0.158;0.00303;0.15958;0.229;0.003;0.157;0.003;0.15543;0.229;0.004;0.157;0.004;0.15857;0.229;0.158;0.001;0.15642;0.001;0.229;0.158;0.002;0.15958;0.002;0.229;0.158;0.003;0.158;0.00303;0.229;0.157;0.003;0.157;0.00297;0.229;0.157;0.004;0.15857;0.00396
0.23;0.001;0.158;0.00101;0.15642;0.23;0.002;0.158;0.00202;0.158;0.23;0.002;0.157;0.00202;0.157;0.23;0.003;0.157;0.00297;0.15857;0.23;0.004;0.157;0.00396;0.157;0.23;0.158;0.001;0.15642;0.001;0.23;0.158;0.002;0.158;0.00202;0.23;0.157;0.002;0.157;0.00198;0.23;0.157;0.003;0.157;0.003;0.23;0.157;0.004;0.157;0.00396
0.231;0.001;0.158;0.00099;0.15642;0.231;0.002;0.158;0.00198;0.15958;0.231;0.002;0.157;0.00198;0.15543;0.231;0.003;0.157;0.00303;0.157;0.231;0.003;0.156;0.00303;0.15756;0.231;0.158;0.001;0.15642;0.00099;0.231;0.158;0.002;0.15642;0.00202;0.231;0.157;0.002;0.15543;0.002;0.231;0.157;0.003;0.15857;0.00303;0.231;0.156;0.003;0.15756;0.00303
0.232;0.001;0.158;0.001;0.15642;0.232;0.002;0.158;0.00202;0.15642;0.232;0.002;0.157;0.00198;0.15543;0.232;0.003;0.157;0.00303;0.157;0.232;0.003;0.156;0.003;0.15756;0.232;0.158;0.001;0.15642;0.00101;0.232;0.158;0.002;0.15642;0.00202;0.232;0.157;0.002;0.15857;0.00202;0.232;0.157;0.003;0.15857;0.00303;0.232;0.156;0.003;0.156;0.00303
0.233;0.001;0.158;0.00101;0.15958;0.233;0.002;0.158;0.00198;0.158;0.233;0.002;0.157;0.00202;0.15543;0.233;0.003;0.157;0.003;0.15543;0.233;0.003;0.156;0.00297;0.156;0.233;0.158;0.001;0.15642;0.00101;0.233;0.158;0.002;0.15958;0.00198;0.233;0.157;0.002;0.15543;0.00202;0.233;0.157;0.003;0.15543;0.00303;0.233;0.156;0.003;0.15756;0.00297
0.234;0.001;0.158;0.00101;0.15642;0.234;0.002;0.158;0.00198;0.15958;0.234;0.002;0.157;0.00202;0.15857;0.234;0.003;0.157;0.00303;0.15543;0.234;0.003;0.156;0.003;0.156;0.234;0.158;0.001;0.15642;0.00101;0.234;0.158;0.002;0.15642;0.00198;0.234;0.157;0.002;0.15857;0.002;0.234;0.157;0.003;0.15543;0.003;0.234;0.156;0.003;0.15444;0.00303
0.235;0.001;0.158;0.001;0.15958;0.235;0.002;0.158;0.00202;0.15642;0.235;0.002;0.157;0.00202;0.15543;0.235;0.003;0.157;0.00297;0.157;0.235;0.003;0.156;0.003;0.15756;0.235;0.158;0.001;0.158;0.00101;0.235;0.158;0.002;0.15642;0.002;0.235;0.157;0.002;0.15543;0.002;0.235;0.157;0.003;0.157;0.00303;0.235;0.156;0.003;0.15444;0.00297
0.236;0.001;0.158;0.001;0.15958;0.236;0.002;0.158;0.002;0.15642;0.236;0.002;0.157;0.00198;0.15857;0.236;0.003;0.157;0.00303;0.157;0.236;0.003;0.156;0.003;0.15756;0.236;0.158;0.001;0.158;0.001;0.236;0.158;0.002;0.158;0.00202;0.236;0.157;0.002;0.157;0.002;0.236;0.157;0.003;0.15857;0.00303;0.236;0.156;0.003;0.15444;0.00303
0.237;0.001;0.158;0.00099;0.15642;0.237;0.002;0.158;0.002;0.158;0.237;0.002;0.157;0.00202;0.157;0.237;0.003;0.157;0.003;0.15857;0.237;0.003;0.156;0.00303;0.156;0.237;0.158;0.001;0.15642;0.00101;0.237;0.158;0.002;0.158;0.00198;0.237;0.157;0.002;0.157;0.00202;0.237;0.157;0.003;0.15543;0.003;0.237;0.156;0.003;0.15444;0.00303
0.238;0.001;0.158;0.00101;0.15642;0.238;0.002;0.158;0.00202;0.15958;0.238;0.002;0.157;0.00198;0.15857;0.238;0.003;0.157;0.00297;0.157;0.238;0.003;0.156;0.00297;0.15444;0.238;0.158;0.001;0.158;0.001;0.238;0.158;0.002;0.15958;0.00202;0.238;0.157;0.002;0.157;0.002;0.238;0.157;0.003;0.157;0.003;0.238;0.156;0.003;0.15444;0.00297
0.239;0.001;0.158;0.00099;0.158;0.239;0.002;0.158;0.00198;0.15958;0.239;0.002;0.157;0.002;0.15857;0.239;0.003;0.157;0.00303;0.15857;0.239;0.003;0.156;0.00303;0.156;0.239;0.158;0.001;0.15958;0.00101;0.239;0.158;0.002;0.15642;0.00198;0.239;0.157;0.002;0.15543;0.00202;0.239;0.157;0.003;0.157;0.003;0.239;0.156;0.003;0.156;0.00303
0.24;0.001;0.158;0.00099;0.15958;0.24;0.002;0.158;0.00202;0.158;0.24;0.002;0.157;0.002;0.15857;0.24;0.003;0.157;0.00297;0.157;0.24;0.003;0.156;0.00303;0.15444;0.24;0.158;0.001;0.158;0.00099;0.24;0.158;0.002;0.15958;0.00198;0.24;0.157;0.002;0.15857;0.00198;0.24;0.157;0.003;0.157;0.00303;0.24;0.156;0.003;0.15756;0.00303
0.241;0.001;0.158;0.001;0.15958;0.241;0.002;0.158;0.002;0.158;0.241;0.002;0.157;0.002;0.157;0.241;0.003;0.157;0.003;0.157;0.241;0.003;0.156;0.003;0.15444;0.241;0.158;0.001;0.158;0.00099;0.241;0.158;0.002;0.158;0.00202;0.241;0.157;0.002;0.157;0.002;0.241;0.157;0.003;0.157;0.003;0.241;0.156;0.003;0.15444;0.00297
0.242;0.001;0.158;0.001;0.158;0.242;0.002;0.158;0.00198;0.15958;0.242;0.002;0.157;0.00202;0.157;0.242;0.003;0.157;0.003;0.15543;0.242;0.003;0.156;0.00303;0.15756;0.242;0.158;0.001;0.158;0.00099;0.242;0.158;0.002;0.15958;0.00202;0.242;0.157;0.002;0.157;0.00202;0.242;0.157;0.003;0.15857;0.00303;0.242;0.156;0.003;0.156;0.00297
0.243;0.001;0.158;0.00099;0.158;0.243;0.002;0.158;0.00202;0.15958;0.243;0.002;0.157;0.00202;0.15857;0.243;0.003;0.157;0.00297;0.157;0.243;0.003;0.156;0.00297;0.156;0.243;0.158;0.001;0.15958;0.00101;0.243;0.158;0.002;0.15958;0.00202;0.243;0.157;0.002;0.15543;0.002;0.243;0.157;0.003;0.15857;0.00303;0.243;0.156;0.003;0.156;0.00297
0.244;0.001;0.158;0.001;0.158;0.244;0.002;0.158;0.00198;0.15642;0.244;0.002;0.157;0.00198;0.157;0.244;0.003;0.157;0.00303;0.15543;0.244;0.003;0.156;0.00303;0.156;0.244;0.158;0.001;0.15958;0.00101;0.244;0.158;0.002;0.15642;0.00202;0.244;0.157;0.002;0.15857;0.00202;0.244;0.157;0.003;0.15543;0.00303;0.244;0.156;0.003;0.156;0.00303
0.245;0.001;0.158;0.00099;0.15958;0.245;0.002;0.158;0.00202;0.15958;0.245;0.002;0.157;0.002;0.157;0.245;0.003;0.157;0.00297;0.15543;0.245;0.003;0.156;0.00297;0.156;0.245;0.158;0.001;0.15958;0.00099;0.245;0.158;0.002;0.15642;0.00202;0.245;0.157;0.002;0.15543;0.002;0.245;0.157;0.003;0.15857;0.00303;0.245;0.156;0.003;0.156;0.00297
0.246;0.001;0.158;0.001;0.15642;0.246;0.002;0.158;0.002;0.15958;0.246;0.002;0.157;0.00198;0.157;0.246;0.003;0.157;0.00303;0.15857;0.246;0.003;0.156;0.00303;0.15444;0.246;0.158;0.001;0.15642;0.00099;0.246;0.158;0.002;0.15642;0.00198;0.246;0.157;0.002;0.15543;0.00202;0.246;0.157;0.003;0.15543;0.00297;0.246;0.156;0.003;0.156;0.003
0.247;0.001;0.158;0.00099;0.15642;0.247;0.002;0.158;0.002;0.15642;0.247;0.002;0.157;0.00202;0.15543;0.247;0.003;0.157;0.003;0.157;0.247;0.003;0.156;0.003;0.15756;0.247;0.158;0.001;0.15958;0.00099;0.247;0.158;0.002;0.15958;0.00198;0.247;0.157;0.002;0.15857;0.00198;0.247;0.157;0.003;0.157;0.003;0.247;0.156;0.003;0.156;0.003
0.248;0.001;0.158;0.00099;0.158;0.248;0.002;0.158;0.002;0.15958;0.248;0.002;0.157;0.00198;0.157;0.248;0.003;0.157;0.003;0.15543;0.248;0.003;0.156;0.003;0.15444;0.248;0.158;0.001;0.15958;0.00099;0.248;0.158;0.002;0.15642;0.00202;0.248;0.157;0.002;0.15543;0.00202;0.248;0.157;0.003;0.15857;0.00297;0.248;0.156;0.003;0.15756;0.00297
0.249;0.001;0.158;0.00099;0.15642;0.249;0.002;0.158;0.002;0.15642;0.249;0.002;0.157;0.00198;0.15857;0.249;0.003;0.157;0.00303;0.15857;0.249;0.003;0.156;0.00297;0.15444;0.249;0.158;0.001;0.158;0.001;0.249;0.158;0.002;0.15958;0.00198;0.249;0.157;0.002;0.15543;0.002;0.249;0.157;0.003;0.15543;0.003;0.249;0.156;0.003;0.15444;0.00303
0.25;0.001;0.158;0.001;0.15642;0.25;0.002;0.158;0.00202;0.15642;0.25;0.002;0.157;0.00198;0.15543;0.25;0.003;0.157;0.003;0.15857;0.25;0.003;0.156;0.00303;0.15756;0.25;0.158;0.001;0.15642;0.00101;0.25;0.158;0.002;0.158;0.002;0.25;0.157;0.002;0.157;0.00202;0.25;0.157;0.003;0.15857;0.00297;0.25;0.156;0.003;0.15444;0.00297
0.251;0.001;0.158;0.00099;0.158;0.251;0.002;0.158;0.00202;0.15958;0.251;0.002;0.157;0.00198;0.15857;0.251;0.003;0.157;0.00297;0.157;0.251;0.003;0.156;0.00303;0.156;0.251;0.158;0.001;0.15958;0.00099;0.251;0.158;0.002;0.15958;0.002;0.251;0.157;0.002;0.15543;0.00202;0.251;0.157;0.003;0.15543;0.003;0.251;0.156;0.003;0.15756;0.00297
0.252;0.001;0.158;0.00099;0.15958;0.252;0.002;0.158;0.002;0.15642;0.252;0.002;0.157;0.00202;0.15857;0.252;0.003;0.157;0.00303;0.15857;0.252;0.003;0.156;0.003;0.15756;0.252;0.158;0.001;0.15958;0.00101;0.252;0.158;0.002;0.15958;0.00198;0.252;0.157;0.002;0.157;0.002;0.252;0.157;0.003;0.15543;0.003;0.252;0.156;0.003;0.15444;0.003
0.253;0.001;0.158;0.001;0.15958;0.253;0.002;0.158;0.002;0.15958;0.253;0.002;0.157;0.00202;0.157;0.253;0.003;0.157;0.003;0.15543;0.253;0.003;0.156;0.00303;0.156;0.253;0.158;0.001;0.15642;0.00101;0.253;0.158;0.002;0.15642;0.002;0.253;0.157;0.002;0.15543;0.00202;0.253;0.157;0.003;0.157;0.003;0.253;0.156;0.003;0.156;0.003
0.254;0.001;0.158;0.001;0.158;0.254;0.002;0.158;0.002;0.15642;0.254;0.002;0.157;0.002;0.15857;0.254;0.003;0.157;0.00303;0.15857;0.254;0.003;0.156;0.00297;0.15444;0.254;0.158;0.001;0.158;0.00101;0.254;0.158;0.002;0.15958;0.00198;0.254;0.157;0.002;0.15543;0.002;0.254;0.157;0.003;0.157;0.00297;0.254;0.156;0.003;0.15756;0.00303
0.255;0.001;0.158;0.00099;0.15642;0.255;0.002;0.158;0.00202;0.15642;0.255;0.002;0.157;0.00198;0.15857;0.255;0.003;0.157;0.00303;0.15857;0.255;0.003;0.156;0.00303;0.15756;0.255;0.158;0.001;0.15958;0.00099;0.255;0.158;0.002;0.15642;0.002;0.255;0.157;0.002;0.157;0.00202;0.255;0.157;0.003;0.15543;0.00297;0.255;0.156;0.003;0.15756;0.003
0.256;0.001;0.158;0.00099;0.158;0.256;0.002;0.158;0.00202;0.15642;0.256;0.002;0.157;0.00202;0.15857;0.256;0.003;0.157;0.00303;0.157;0.256;0.003;0.156;0.00297;0.156;0.256;0.158;0.001;0.15958;0.00099;0.256;0.158;0.002;0.15958;0.002;0.256;0.157;0.002;0.15857;0.002;0.256;0.157;0.003;0.15857;0.003;0.256;0.156;0.003;0.15444;0.003
0.257;0.001;0.158;0.001;0.15642;0.257;0.002;0.158;0.00202;0.15958;0.257;0.002;0.157;0.00198;0.157;0.257;0.003;0.157;0.00303;0.15543;0.257;0.003;0.156;0.003;0.15444;0.257;0.158;0.001;0.158;0.00099;0.257;0.158;0.002;0.158;0.00202;0.257;0.157;0.002;0.15857;0.002;0.257;0.157;0.003;0.15857;0.00303;0.257;0.156;0.003;0.15444;0.00303
0.258;0.001;0.158;0.00101;0.15958;0.258;0.002;0.158;0.00198;0.15958;0.258;0.002;0.157;0.002;0.15543;0.258;0.003;0.157;0.00303;0.15543;0.258;0.003;0.156;0.00303;0.156;0.258;0.158;0.001;0.15642;0.001;0.258;0.158;0.002;0.158;0.00198;0.258;0.157;0.002;0.15857;0.002;0.258;0.157;0.003;0.157;0.00303;0.258;0.156;0.003;0.156;0.003
0.259;0.001;0.158;0.001;0.158;0.259;0.002;0.158;0.00202;0.158;0.259;0.002;0.157;0.002;0.15857;0.259;0.003;0.157;0.003;0.157;0.259;0.003;0.156;0.00303;0.15756;0.259;0.158;0.001;0.158;0.001;0.259;0.158;0.002;0.15642;0.00198;0.259;0.157;0.002;0.157;0.002;0.259;0.157;0.003;0.15543;0.003;0.259;0.156;0.003;0.156;0.00303
0.26;0.001;0.158;0.00099;0.15958;0.26;0.002;0.158;0.002;0.15958;0.26;0.002;0.157;0.00198;0.15543;0.26;0.003;0.157;0.00303;0.15857;0.26;0.003;0.156;0.003;0.15756;0.26;0.158;0.001;0.15642;0.00099;0.26;0.158;0.002;0.158;0.002;0.26;0.157;0.002;0.157;0.002;0.26;0.157;0.003;0.15857;0.00303;0.26;0.156;0.003;0.15756;0.003
0.261;0.001;0.158;0.00101;0.15958;0.261;0.002;0.158;0.00198;0.158;0.261;0.002;0.157;0.00198;0.15543;0.261;0.003;0.157;0.003;0.15857;0.261;0.003;0.156;0.00303;0.15444;0.261;0.158;0.001;0.158;0.001;0.261;0.158;0.002;0.15958;0.00198;0.261;0.157;0.002;0.157;0.00202;0.261;0.157;0.003;0.157;0.00297;0.261;0.156;0.003;0.156;0.00303
0.262;0.001;0.158;0.00101;0.15958;0.262;0.002;0.158;0.00198;0.15958;0.262;0.002;0.157;0.002;0.15857;0.262;0.003;0.157;0.00297;0.15543;0.262;0.003;0.156;0.003;0.156;0.262;0.158;0.001;0.158;0.00099;0.262;0.158;0.002;0.15958;0.002;0.262;0.157;0.002;0.15543;0.00198;0.262;0.157;0.003;0.15857;0.00303;0.262;0.156;0.003;0.15756;0.00297
0.263;0.001;0.158;0.00101;0.158;0.263;0.002;0.158;0.00202;0.15642;0.263;0.002;0.157;0.002;0.15857;0.263;0.003;0.157;0.00297;0.15857;0.263;0.003;0.156;0.00303;0.15444;0.263;0.158;0.001;0.15642;0.001;0.263;0.158;0.002;0.15958;0.002;0.263;0.157;0.002;0.15857;0.002;0.263;0.157;0.003;0.157;0.003;0.263;0.156;0.003;0.15756;0.00297
0.264;0.001;0.158;0.00099;0.15642;0.264;0.002;0.158;0.00202;0.15958;0.264;0.002;0.157;0.00198;0.15543;0.264;0.003;0.157;0.003;0.15543;0.264;0.003;0.156;0.00303;0.15444;0.264;0.158;0.001;0.158;0.00099;0.264;0.158;0.002;0.15958;0.00202;0.264;0.157;0.002;0.15543;0.002;0.264;0.157;0.003;0.157;0.003;0.264;0.156;0.003;0.15756;0.00297
0.265;0.001;0.158;0.00101;0.15958;0.265;0.002;0.158;0.00198;0.158;0.265;0.002;0.157;0.00198;0.157;0.265;0.003;0.157;0.003;0.15857;0.265;0.003;0.156;0.003;0.156;0.265;0.158;0.001;0.15642;0.00101;0.265;0.158;0.002;0.15642;0.00198;0.265;0.157;0.002;0.15543;0.002;0.265;0.157;0.003;0.157;0.00303;0.265;0.156;0.003;0.156;0.003
